OCA5_c26860 OCA5_c33080
OCA5_c26860 OCA5_c10940
OCA5_c26860 OCA5_c33070
OCA5_c26870 OCA5_c10940
OCA5_c26870 OCA5_c33070
OCA5_c26870 OCA5_c33080
OCA5_c26900 OCA5_c24730
OCA5_c26900 OCA5_c21580
OCA5_c26900 OCA5_c09480
OCA5_c26950 OCAR_6932
OCA5_c26950 OCA5_c26960
OCA5_c26950 OCA5_c00540
OCA5_c26960 OCAR_6932
OCA5_c26960 OCA5_c26950
OCA5_c26960 OCA5_c19020
OCA5_c26960 OCA5_c00460
OCA5_c26980 OCA5_c33630
OCA5_c27180 OCA5_c20570
OCA5_c27220 OCA5_c27310
OCA5_c27240 OCA5_c32220
OCA5_c27240 OCAR_5244
OCA5_c27280 OCAR_5244
OCA5_c27280 OCA5_c27320
